_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
69b53d26c888b99764351a77,Asia,Master's,Y,N,1998,1996,South,81402.95,Year,Y,Certified
69b547f107de1f89d642d756,North America,Bachelor's,N,N,2401,2013,South,120852.02,Year,Y,Denied
69b53d26c888b99764355ff1,Asia,Bachelor's,Y,N,4106,2003,Midwest,72082.38,Year,Y,Denied
69b547f107de1f89d642a479,Asia,Bachelor's,N,Y,1634,1999,South,51282.75,Year,Y,Certified
69b53d27c888b997643570ef,Asia,Bachelor's,Y,N,1172,1942,South,122.6374,Hour,Y,Denied
69b547f107de1f89d642ae9b,Asia,Master's,N,N,4399,1993,Midwest,121244.9,Year,N,Denied
69b547f107de1f89d642b595,Asia,Master's,Y,N,270,1851,South,92599.64,Year,Y,Certified
69b53d26c888b99764351cbc,South America,Bachelor's,N,N,3258,1900,South,86267.51,Year,Y,Certified
69b53d26c888b99764354668,Asia,Master's,Y,N,20687,1944,Midwest,35988.02,Year,N,Certified
69b547f107de1f89d642ef0f,Asia,Bachelor's,N,N,2273,1997,South,58592.54,Year,Y,Denied
69b547f107de1f89d642c548,Europe,Master's,Y,N,630,1997,Northeast,52832.65,Year,Y,Certified
69b53d26c888b99764351785,North America,High School,N,N,2290,2015,Northeast,293.3152,Hour,Y,Denied
69b53d26c888b99764351d2f,North America,Doctorate,Y,N,2633,1962,Northeast,165478.43,Year,Y,Certified
69b53d26c888b997643560d7,North America,Master's,Y,N,5880,1850,West,15268.45,Year,Y,Certified
69b547f107de1f89d642c30c,Asia,High School,Y,N,1697,2005,Midwest,26949.31,Year,Y,Denied
69b53d26c888b997643538b1,Europe,Bachelor's,Y,N,2624,2006,Northeast,101182.94,Year,Y,Certified
69b53d27c888b99764357038,Asia,Bachelor's,Y,N,3710,2012,South,209.645,Hour,Y,Denied
69b53d27c888b99764356c95,Asia,Master's,N,N,3120,1908,Northeast,145360.14,Year,N,Certified
69b53d26c888b99764355dbe,Asia,High School,N,N,549,1983,Northeast,427.3764,Hour,Y,Denied
69b53d26c888b99764355f13,Asia,Bachelor's,Y,N,1088,2005,Northeast,56120.83,Year,Y,Certified
69b547f107de1f89d642d0ad,Europe,Bachelor's,N,N,1000,1998,West,49434.03,Year,Y,Certified
69b547f107de1f89d642c6ea,Asia,Master's,Y,N,358,2009,South,105159.8,Year,N,Certified
69b547f107de1f89d642ed1a,North America,Master's,Y,N,1053,1999,South,88642.0,Year,Y,Certified
69b53d26c888b99764352d40,Europe,Master's,N,N,516,2006,Northeast,80985.43,Year,Y,Certified
69b53d26c888b9976435458f,Asia,Master's,Y,N,3149,1909,Northeast,34037.56,Year,N,Denied
69b547f107de1f89d642a543,Asia,Master's,Y,N,2284,2013,South,51610.24,Year,Y,Certified
69b547f107de1f89d642c4c7,Asia,Bachelor's,Y,N,484,1877,South,106315.4,Year,Y,Certified
69b547f107de1f89d64302ba,Asia,Bachelor's,N,Y,1090,2014,Northeast,145386.2,Year,Y,Denied
69b547f107de1f89d642bdbc,South America,Bachelor's,N,Y,749,1985,Midwest,97435.0,Year,Y,Denied
69b547f107de1f89d642fb4a,South America,Master's,N,N,692,2009,West,75678.83,Year,Y,Denied
69b53d26c888b9976435375f,North America,Bachelor's,Y,N,497,1991,Midwest,68401.78,Year,Y,Certified
69b53d26c888b99764354dcb,Asia,Master's,Y,N,1908,2003,West,82195.61,Year,Y,Certified
69b547f107de1f89d642ea7a,Asia,Master's,N,N,4675,2010,Midwest,102158.17,Year,N,Certified
69b53d26c888b99764352a2f,Asia,Bachelor's,N,N,3798,1987,Northeast,36839.05,Year,Y,Denied
69b53d26c888b99764354dc2,Europe,Master's,N,N,4038,2011,South,137719.61,Year,Y,Certified
69b53d26c888b9976435611e,Asia,Bachelor's,N,Y,12587,1990,Northeast,19001.91,Year,Y,Certified
69b53d27c888b99764356f11,Asia,Master's,Y,N,1054,1885,Midwest,59160.3,Year,Y,Certified
69b53d26c888b997643516bd,Asia,High School,Y,N,2524,1946,West,84130.53,Year,Y,Denied
69b53d26c888b9976435268a,Asia,High School,N,N,1478,2009,Northeast,36922.74,Year,Y,Denied
69b53d26c888b99764354125,Asia,Bachelor's,N,N,779,1880,Northeast,59167.83,Year,Y,Denied
69b53d26c888b99764353fd2,Asia,Bachelor's,Y,N,3230,1875,South,133638.43,Year,Y,Certified
69b53d26c888b99764352f9c,Europe,Doctorate,Y,N,3020,2005,Northeast,77088.4,Year,Y,Certified
69b547f107de1f89d642e08c,Asia,Master's,N,N,3374,2008,South,127430.73,Year,Y,Denied
69b53d27c888b99764356e82,Asia,High School,Y,N,10737,1895,South,156896.08,Year,N,Certified
69b53d27c888b99764356b52,Asia,Bachelor's,Y,N,3331,2004,West,140328.15,Year,Y,Denied
69b53d26c888b9976435414a,North America,Bachelor's,Y,N,2617,2005,South,17298.01,Year,Y,Denied
69b53d27c888b99764357023,Europe,Doctorate,N,N,4802,1989,South,2088.36,Year,Y,Denied
69b547f107de1f89d642cf97,Asia,Bachelor's,Y,N,4422,2013,West,89421.2,Year,Y,Denied
69b547f107de1f89d642b8c1,Asia,Master's,Y,N,22840,1993,South,82507.76,Year,N,Certified
69b547f107de1f89d64305c8,Asia,Master's,N,Y,1990,1985,South,47508.19,Year,Y,Certified
69b547f107de1f89d642ac9d,North America,Bachelor's,N,N,443,2006,Northeast,66345.45,Year,Y,Denied
69b547f107de1f89d642b5a3,South America,Bachelor's,N,Y,975,1986,West,82467.19,Year,Y,Denied
69b547f107de1f89d642db6c,North America,Doctorate,N,N,1178,2007,Midwest,18329.28,Year,Y,Certified
69b547f107de1f89d642aa4f,Europe,Master's,N,Y,1993,2001,South,100700.16,Year,Y,Certified
69b547f107de1f89d642ed7d,Asia,Bachelor's,N,N,2158,2008,South,930.6453,Hour,Y,Denied
69b53d27c888b99764356b2e,North America,Doctorate,Y,Y,3860,2003,South,98472.25,Year,Y,Certified
69b53d26c888b997643529c1,Asia,Master's,Y,N,491,2011,West,120234.92,Year,Y,Certified
69b547f107de1f89d642fb73,Asia,Bachelor's,Y,N,216,2002,Northeast,47986.5,Year,Y,Certified
69b547f107de1f89d642b0fc,North America,Doctorate,N,N,3856,2004,Northeast,48015.67,Year,N,Denied
69b53d27c888b9976435710a,Asia,High School,N,Y,1657,1918,Northeast,156.3903,Hour,Y,Certified
69b547f107de1f89d642bd48,Asia,Master's,N,N,2930,2003,Northeast,66058.4,Year,N,Certified
69b53d26c888b9976435470f,Asia,Bachelor's,N,N,396,1910,West,148106.01,Year,Y,Denied
69b53d26c888b99764352c55,Asia,Master's,Y,N,481,2002,Northeast,93075.14,Year,Y,Certified
69b547f107de1f89d642df8d,Asia,Bachelor's,Y,Y,499720,1948,West,47992.0,Year,Y,Certified
69b547f107de1f89d642bd8b,Asia,Master's,N,N,1383,2004,Midwest,718.027,Hour,Y,Certified
69b547f107de1f89d642eb80,Asia,High School,Y,N,3135,1880,Midwest,8675.74,Year,Y,Certified
69b53d26c888b997643552a4,Asia,Bachelor's,N,N,1043,1969,West,112610.64,Year,Y,Denied
69b547f107de1f89d642d105,Asia,Bachelor's,N,N,539,2014,Northeast,831.07,Hour,Y,Denied
69b53d26c888b99764352200,Asia,Bachelor's,Y,N,111,1834,South,112953.85,Year,Y,Certified
69b53d26c888b99764355dcc,Asia,Master's,N,N,2042,1985,West,68484.18,Year,Y,Certified
69b53d26c888b9976435550b,North America,Bachelor's,Y,N,360,1996,West,7592.29,Year,Y,Denied
69b53d26c888b9976435606e,Asia,High School,Y,Y,2196,1979,South,65598.53,Year,Y,Denied
69b53d26c888b997643548ce,North America,Doctorate,Y,N,3199,1993,Northeast,15569.23,Year,Y,Certified
69b53d26c888b9976435160a,Asia,Bachelor's,Y,N,756,1995,South,86332.95,Year,Y,Certified
69b547f107de1f89d642b4bb,Asia,Master's,Y,Y,983,1885,Midwest,111871.22,Year,Y,Certified
69b53d26c888b99764355c9f,North America,Master's,Y,N,2214,1989,South,11606.1,Year,Y,Certified
69b547f107de1f89d642c9ca,Oceania,Bachelor's,Y,N,183,1920,Northeast,141712.93,Year,Y,Certified
69b53d26c888b99764353cf9,North America,High School,N,N,1672,1961,Midwest,83847.99,Year,Y,Denied
69b53d26c888b997643557e4,Asia,Bachelor's,Y,N,1221,2000,South,107165.21,Year,N,Certified
69b547f107de1f89d642b43b,Asia,Master's,Y,N,4551,1996,West,14761.95,Year,Y,Certified
69b547f107de1f89d642da52,North America,Doctorate,Y,N,2386,2007,West,127468.54,Year,Y,Certified
69b547f107de1f89d642e4fd,Asia,Master's,N,N,2468,1941,West,118091.93,Year,Y,Certified
69b53d26c888b9976435363b,Asia,Bachelor's,Y,N,546,2005,West,55509.24,Year,Y,Certified
69b53d26c888b99764351f96,Asia,Bachelor's,Y,N,498,1999,South,71434.38,Year,Y,Certified
69b53d26c888b99764352648,Asia,Master's,Y,N,28059,2006,Northeast,73977.98,Year,Y,Certified
69b547f107de1f89d642ceb7,Asia,Master's,Y,N,1228,2005,Midwest,128505.27,Year,Y,Certified
69b53d27c888b99764356c99,Asia,Bachelor's,N,N,2193,1973,Northeast,41003.82,Year,Y,Denied
69b547f107de1f89d6430522,Asia,Bachelor's,Y,N,1016,2002,South,111963.5,Year,Y,Certified
69b53d26c888b99764353203,Asia,Master's,N,N,4148,2010,Midwest,144755.6,Year,Y,Certified
69b547f107de1f89d642c576,Asia,Doctorate,N,N,2880,2008,Midwest,101447.99,Year,Y,Certified
69b53d26c888b99764355d9f,Asia,High School,Y,N,3090,1977,South,120934.05,Year,Y,Certified
69b53d27c888b99764356acc,North America,Master's,Y,N,1295,2008,Northeast,104167.08,Week,Y,Certified
69b53d26c888b99764351ad1,Europe,Master's,N,N,1498,2001,Northeast,47444.98,Year,Y,Certified
69b53d26c888b9976435580b,Asia,Master's,N,N,1159,1869,Midwest,103335.02,Year,Y,Denied
69b53d27c888b997643569f3,Asia,Master's,N,N,556,2008,South,196.669,Hour,Y,Denied
69b547f107de1f89d642feaf,Asia,Master's,Y,N,3027,2003,Northeast,86722.04,Year,Y,Denied
69b53d27c888b99764357827,Asia,Bachelor's,N,N,33210,1927,West,37444.81,Year,Y,Certified
69b53d26c888b9976435456b,North America,Master's,N,N,3556,1979,Midwest,33516.1,Year,Y,Certified
69b53d27c888b99764357404,South America,Bachelor's,Y,N,29037,1950,South,130320.79,Year,Y,Certified
69b53d26c888b9976435199d,North America,Master's,N,N,2464,2012,Midwest,113052.48,Year,N,Certified
69b547f107de1f89d642f8b8,Asia,Master's,N,N,2511,1848,Northeast,136974.24,Year,Y,Denied
69b547f107de1f89d642ffad,Africa,Master's,Y,N,2989,2014,West,113309.03,Year,Y,Certified
69b547f107de1f89d642d1a9,Asia,Bachelor's,Y,N,631,2000,Midwest,34416.53,Year,Y,Certified
69b547f107de1f89d642e545,Europe,Bachelor's,Y,N,2832,1978,South,108.8813,Hour,Y,Denied
69b53d27c888b99764357492,Europe,High School,N,N,48,2008,South,123656.77,Year,Y,Certified
69b547f107de1f89d642e621,Asia,Bachelor's,N,N,223,1998,South,133383.42,Year,Y,Certified
69b53d26c888b99764353bb6,Europe,Doctorate,N,N,1723,1994,West,47437.29,Year,Y,Certified
69b547f107de1f89d642d43f,Asia,Bachelor's,N,N,344,1994,South,73753.17,Year,Y,Certified
69b53d26c888b99764353196,Asia,Bachelor's,Y,N,855,1934,South,177596.13,Year,N,Denied
69b547f107de1f89d642b093,Asia,Bachelor's,Y,N,2516,2001,South,90149.76,Year,Y,Certified
69b547f107de1f89d642b4db,Europe,Doctorate,N,Y,501,1986,Northeast,73749.93,Year,Y,Certified
69b53d27c888b99764356689,Europe,Master's,Y,N,2814,2010,West,55188.11,Year,Y,Certified
69b547f107de1f89d642c225,Asia,Bachelor's,Y,Y,5289,1920,Midwest,103540.51,Year,Y,Denied
69b53d26c888b99764355727,Europe,Doctorate,Y,N,4281,2006,South,77814.14,Year,Y,Certified
69b547f107de1f89d642d829,Asia,Doctorate,Y,N,3669,1996,Northeast,88062.64,Year,N,Certified
69b53d26c888b99764351dec,Asia,Bachelor's,N,N,2998,1998,West,4043.55,Year,Y,Denied
69b547f107de1f89d642d379,Oceania,Master's,Y,N,1131,2001,South,341.8027,Hour,Y,Certified
69b53d26c888b99764354550,Asia,Master's,Y,N,992,2006,Northeast,134.89,Hour,Y,Certified
69b53d26c888b99764354df4,Asia,Bachelor's,N,N,1278,2005,South,104360.68,Year,Y,Denied
69b53d27c888b99764356a6b,North America,Master's,N,N,19837,1998,Northeast,136218.43,Year,Y,Certified
69b547f107de1f89d642b0f2,Asia,Bachelor's,N,N,3305,1996,Northeast,104810.5,Year,Y,Denied
69b547f107de1f89d642db74,Asia,Master's,N,N,419,2004,Midwest,71620.24,Year,N,Certified
69b53d26c888b99764352926,Asia,Master's,Y,N,2215,1897,Midwest,150033.64,Year,Y,Certified
69b547f107de1f89d642c5a7,Asia,Master's,Y,N,4400,1999,Northeast,41788.13,Year,Y,Certified
69b547f107de1f89d642a967,Asia,Master's,Y,N,1772,1993,Northeast,53783.93,Year,Y,Certified
69b547f107de1f89d642b7da,Europe,Bachelor's,N,N,2036,1965,Northeast,24993.65,Year,Y,Certified
69b53d27c888b99764356f44,North America,Master's,Y,N,3587,2008,Northeast,134588.94,Year,Y,Certified
69b547f107de1f89d642d7f6,Asia,Master's,Y,N,988,2001,Northeast,105265.77,Year,N,Certified
69b53d27c888b99764356760,Africa,Master's,Y,N,2104,1999,West,92877.33,Year,Y,Certified
69b53d27c888b99764356e50,Asia,Bachelor's,N,N,1475,1999,Northeast,692.6452,Hour,Y,Certified
69b53d26c888b997643559ab,Asia,Bachelor's,Y,N,4509,2007,West,43976.53,Year,Y,Denied
69b53d27c888b99764357931,Asia,Master's,Y,N,416,1965,Northeast,66068.46,Week,Y,Certified
69b53d26c888b997643525a4,South America,Bachelor's,Y,Y,4460,1979,West,133266.06,Year,Y,Certified
69b547f107de1f89d642e0a4,Europe,Master's,Y,N,2511,1988,South,25.0117,Hour,Y,Certified
69b53d26c888b99764356070,Asia,Bachelor's,N,N,1112,2010,Northeast,73696.34,Year,Y,Denied
69b547f107de1f89d642ef29,Asia,High School,N,N,1159,2006,South,53.0071,Hour,Y,Denied
69b547f107de1f89d642f62e,Europe,Master's,N,N,526,1992,Northeast,45438.65,Year,Y,Certified
69b53d26c888b99764353b61,Asia,High School,Y,N,753,1992,Midwest,123102.04,Year,Y,Denied
69b547f107de1f89d642ed3e,Asia,Master's,Y,N,55504,1970,South,166748.4,Year,N,Certified
69b53d26c888b997643546be,Asia,Master's,Y,N,4990,1983,Northeast,42139.26,Year,Y,Certified
69b547f107de1f89d642d2f4,Asia,Master's,N,N,587,1984,Northeast,45229.64,Year,Y,Denied
69b53d26c888b99764351876,Asia,Master's,N,N,2953,2000,Midwest,110427.57,Year,Y,Certified
69b547f107de1f89d642dc3e,Asia,Bachelor's,N,N,3196,2005,Midwest,109681.5,Year,Y,Certified
69b547f107de1f89d642c5ec,Asia,Master's,Y,N,3022,1978,Northeast,8531.85,Year,Y,Certified
69b547f107de1f89d642d336,Asia,Bachelor's,Y,N,676,2003,Northeast,48038.39,Year,Y,Certified
69b547f107de1f89d642bf50,North America,Master's,Y,N,2729,1976,West,234406.36,Week,Y,Certified
69b53d27c888b99764356aff,Asia,High School,N,N,788,2012,Northeast,88402.64,Year,N,Denied
69b547f107de1f89d643035d,Asia,Bachelor's,Y,N,101335,1998,West,57314.69,Year,Y,Certified
69b547f107de1f89d642ea3a,Asia,Bachelor's,Y,N,1040,1985,West,102534.5,Year,Y,Certified
69b53d26c888b99764352fc9,Asia,Bachelor's,Y,N,4686,1946,South,66975.89,Year,N,Certified
69b53d26c888b997643548f0,Europe,Master's,Y,N,1632,1841,South,77155.86,Year,Y,Certified
69b53d26c888b9976435404f,Asia,Master's,Y,N,6262,2013,West,115861.47,Year,N,Denied
69b547f107de1f89d642e69f,Asia,Master's,Y,N,1325,1931,South,6754.44,Year,Y,Certified
69b53d26c888b99764354898,Asia,Doctorate,Y,N,3300,1975,South,18203.9,Year,Y,Certified
69b53d26c888b99764351d38,Africa,Doctorate,Y,N,1420,1997,Northeast,33759.48,Year,Y,Certified
69b547f107de1f89d642d355,Asia,Doctorate,Y,N,33,1991,Midwest,21544.52,Year,N,Certified
69b53d27c888b997643569a4,Asia,Master's,N,N,2672,1981,Midwest,118250.61,Year,N,Certified
69b53d26c888b997643557ef,North America,Bachelor's,N,N,450,1996,Northeast,605.6115,Hour,Y,Certified
69b547f107de1f89d642aefa,Asia,High School,N,Y,2070,1997,South,98972.78,Year,Y,Denied
69b53d26c888b99764355a2b,Asia,Bachelor's,N,N,4767,1930,West,95292.12,Year,Y,Certified
69b53d27c888b9976435718f,Asia,High School,N,N,516,1997,South,104274.88,Year,Y,Certified
69b53d26c888b997643524d4,Asia,Bachelor's,Y,N,3329,1968,Northeast,70284.59,Year,Y,Certified
69b53d26c888b99764355136,North America,Bachelor's,N,N,3399,1909,West,88436.0,Year,N,Denied
69b547f107de1f89d642d0b9,Asia,Bachelor's,Y,N,5902,2005,Midwest,105861.03,Year,Y,Certified
69b547f107de1f89d642b9b8,South America,Doctorate,N,N,1765,1871,West,83195.51,Year,Y,Certified
69b53d26c888b997643520af,Asia,Bachelor's,Y,Y,1811,1969,West,79583.46,Year,Y,Certified
69b53d26c888b99764351a08,Asia,Master's,Y,N,1156,1992,Midwest,229819.69,Year,Y,Certified
69b53d26c888b997643526e6,Asia,Bachelor's,N,N,738,2005,West,37780.69,Year,Y,Denied
69b547f107de1f89d642f09f,Asia,Bachelor's,Y,N,628,1942,Midwest,83851.73,Year,Y,Certified
69b547f107de1f89d642ee23,North America,Master's,N,N,1317,1817,South,44889.24,Week,Y,Denied
69b547f107de1f89d642f00e,Asia,Master's,N,N,5736,2007,West,146759.8,Year,Y,Certified
69b547f107de1f89d642ae4a,Asia,Master's,Y,N,3924,1957,Northeast,92834.86,Year,N,Certified
69b53d27c888b997643571ed,Asia,Master's,N,N,1869,2007,Northeast,47742.91,Year,Y,Certified
69b53d26c888b99764355a60,Asia,Bachelor's,N,N,4321,1980,Midwest,249610.99,Year,Y,Certified
69b547f107de1f89d642ed39,Asia,Master's,N,N,2504,1978,West,95880.52,Year,Y,Certified
69b547f107de1f89d642e815,Europe,Bachelor's,Y,N,1257,1998,Northeast,50041.52,Year,Y,Certified
69b547f107de1f89d642bfac,North America,Doctorate,Y,N,3089,1979,Northeast,505.8025,Hour,Y,Certified
69b53d26c888b99764355a86,Europe,Master's,N,N,42,2009,West,128952.12,Year,Y,Denied
69b547f107de1f89d642fdb3,Asia,Master's,N,N,1888,1962,Northeast,34756.18,Year,Y,Denied
69b53d26c888b9976435283c,Europe,Doctorate,Y,N,4315,1868,South,135.17,Year,Y,Certified
69b547f107de1f89d642f7e3,Asia,Master's,Y,N,4432,2007,Northeast,494.26,Year,Y,Denied
69b547f107de1f89d642f7bc,Europe,Master's,N,N,534,2005,Northeast,58332.18,Year,Y,Certified
69b547f107de1f89d642f3ea,Asia,Master's,Y,N,452,1997,West,153531.71,Year,Y,Certified
69b53d26c888b997643559ca,Asia,Doctorate,Y,N,2300,1999,Northeast,50565.64,Year,Y,Certified
69b547f107de1f89d642c848,Asia,High School,N,N,1445,2006,West,109517.41,Year,Y,Denied
69b547f107de1f89d6430179,Asia,Bachelor's,N,N,1037,2007,South,60480.29,Year,Y,Denied
69b53d27c888b997643572fc,Asia,Bachelor's,Y,N,15307,1998,West,23007.56,Year,Y,Denied
69b53d26c888b997643544ef,Europe,Bachelor's,Y,Y,2491,2001,West,67928.05,Year,Y,Certified
69b53d26c888b99764352d9a,Asia,Master's,Y,N,3077,1971,South,5632.25,Year,Y,Certified
69b53d27c888b9976435663a,North America,Master's,Y,N,3377,2008,South,190747.48,Year,Y,Certified
69b53d26c888b9976435184c,Asia,Master's,Y,N,1989,1995,West,94398.97,Year,Y,Certified
69b547f107de1f89d642f69f,North America,Master's,Y,N,1694,2006,Midwest,123993.41,Year,Y,Certified
69b53d26c888b9976435200d,Asia,High School,N,Y,3806,1998,Midwest,74494.92,Year,Y,Certified
69b53d26c888b99764352135,Europe,Bachelor's,Y,N,3997,1912,West,43579.53,Year,Y,Certified
69b547f107de1f89d642fed5,Europe,Bachelor's,Y,N,1301,2004,South,54928.49,Year,Y,Certified
69b547f107de1f89d642faad,Asia,High School,Y,N,2365,2001,Northeast,16343.91,Year,Y,Denied
69b547f107de1f89d642a9a5,Asia,Master's,Y,N,1089,1973,South,115752.57,Year,N,Certified
69b547f107de1f89d642b2b8,North America,Bachelor's,N,Y,4275,1919,West,3673.32,Year,Y,Denied
69b547f107de1f89d642cfa0,Asia,Master's,Y,N,3840,2007,South,98275.01,Year,N,Certified
69b53d26c888b997643561d2,Asia,Master's,Y,N,167,1983,South,66622.99,Year,Y,Certified
69b547f107de1f89d642e4d5,Asia,Bachelor's,Y,N,272,2005,South,121.6,Hour,Y,Certified
69b547f107de1f89d642bde0,Asia,Bachelor's,N,Y,3590,1904,West,57356.06,Year,Y,Denied
69b53d26c888b997643554cc,Asia,Master's,N,Y,5349,2002,West,18269.23,Year,Y,Certified
69b547f107de1f89d642b20a,Europe,Bachelor's,N,N,4999,2010,West,19234.84,Year,Y,Certified
69b53d26c888b99764352bda,North America,Master's,Y,N,127234,2003,Northeast,73425.31,Year,Y,Certified
69b53d26c888b997643529e6,Asia,Bachelor's,N,N,960,2000,West,116779.89,Year,Y,Denied
69b53d26c888b99764355c5c,Asia,High School,N,N,76,1989,Midwest,99352.19,Year,Y,Denied
69b547f107de1f89d642c521,Asia,Bachelor's,Y,Y,2140,1871,West,99622.59,Year,Y,Denied
69b547f107de1f89d642d93f,Asia,Master's,N,N,232,1868,South,139224.24,Year,N,Certified
69b547f107de1f89d642f745,Asia,Master's,Y,N,1735,1977,Northeast,71264.4,Year,Y,Certified
69b53d26c888b997643516b5,Europe,Master's,N,Y,2752,2006,South,21511.58,Year,Y,Certified
69b53d27c888b9976435780f,Europe,Doctorate,N,Y,182,1954,West,71236.73,Year,N,Denied
69b547f107de1f89d642a9e6,North America,Bachelor's,Y,N,5661,1989,West,143857.62,Year,Y,Certified
69b547f107de1f89d642ef2d,Asia,Bachelor's,Y,N,2201,1915,South,120566.46,Year,Y,Denied
69b53d27c888b997643563f4,Asia,High School,N,N,3846,1998,South,44048.87,Year,Y,Certified
